id;sender;receiver;objet;message;date_creation;etudiant_id
1;Moi;user@user.com;enterprise a system;de overriding deposit;2021-06-05;1
2;Moi;user@user.com;Account override;disintermediate Customer-focused Object-based;2021-06-06;1
3;Moi;user@user.com;du Cambridgeshire;Dauphine models;2021-06-05;1
4;Moi;user@user.com;e-business COM lime;b copy content-based;2021-06-06;1
5;Moi;user@user.com;Provence-Alpes-Côte;RAM Chips Quality-focused;2021-06-05;1
6;Moi;user@user.com;Languedoc-Roussillon lavender Cheese;Digitized web-readiness payment;2021-06-05;1
7;Moi;user@user.com;Industrial a Shirt;Sénégal Gorgeous;2021-06-05;1
8;Moi;user@user.com;invoice Nord-Pas-de-Calais;Decentralized Awesome Plastic;2021-06-05;1
9;Moi;user@user.com;Rhône-Alpes User-centric compress;Auvergne ivory;2021-06-05;1
10;Moi;user@user.com;Generic;Consultant;2021-06-05;1
