id;sender;receiver;objet;message;date_creation
1;transmitter primary;disintermediate Loan impactful;enterprise a system;de overriding deposit;2021-06-05
2;Rubber;hack hardware;Account override;disintermediate Customer-focused Object-based;2021-06-06
3;Saint-Bernard connecting Account;USB;du Cambridgeshire;Dauphine models;2021-06-05
4;c generating Health;Versatile;e-business COM lime;b copy content-based;2021-06-06
5;orchestration;c transmit;Provence-Alpes-Côte;RAM Chips Quality-focused;2021-06-05
6;ROI backing Berkshire;pink alliance;Languedoc-Roussillon lavender Cheese;Digitized web-readiness payment;2021-06-05
7;Bretagne;Joubert motivating Midi-Pyrénées;Industrial a Shirt;Sénégal Gorgeous;2021-06-05
8;synthesizing web-readiness;firewall Bretagne Manager;invoice Nord-Pas-de-Calais;Decentralized Awesome Plastic;2021-06-05
9;Hat Namibie;invoice copying;Rhône-Alpes User-centric compress;Auvergne ivory;2021-06-05
10;B2C;a;Generic;Consultant;2021-06-05
