id;critere_selection;valeur_selection_debut;valeur_selection_fin;critere_appliquer;valeur_appliquer;date_deliberation;session_examen_id
1;MOYENNE_EGALE_A;31284;14399;AJOUTER;56812;2021-06-28;1
2;MOYENNE_COMPRISE_ENTRE;39988;76366;DEFINIR_VALEUR_A;93518;2021-06-28;2
3;MOYENNE_INFERIEURE_A;27164;67262;AJOUTER;79501;2021-06-29;3
4;MOYENNE_COMPRISE_ENTRE;63570;82086;RETRANCHER;39213;2021-06-29;4
5;MOYENNE_EGALE_A;76563;79800;DEFINIR_VALEUR_A;36705;2021-06-29;5
6;MOYENNE_COMPRISE_ENTRE;72591;21014;AJOUTER;72190;2021-06-28;6
7;MOYENNE_COMPRISE_ENTRE;47052;13136;AJOUTER;86106;2021-06-29;7
8;MOYENNE_EGALE_A;17920;54156;AJOUTER;76758;2021-06-28;8
9;MOYENNE_INFERIEURE_A;17167;49819;RETRANCHER;33084;2021-06-28;9
10;MOYENNE_INFERIEURE_A;17771;53518;AJOUTER;11955;2021-06-28;10
