id;libelle;code;credit;filiere_id
1;best-of-breed disintermediate;methodologies Chips Cotton;2615;1
2;Licensed;Bedfordshire la payment;59198;2
3;auxiliary Buckinghamshire blue;up Languedoc-Roussillon logistical;35817;3
4;PCI;Market;93143;4
5;Bedfordshire Pastourelle;clear-thinking Practical infrastructures;35716;5
6;Canada Midi-Pyrénées;Borders;81846;6
7;Movies Kirghizistan;Car;48890;7
8;Nigeria Fresh 4th;a grid-enabled mobile;84856;8
9;Dollar;Ergonomic Gorgeous;57834;9
10;Niger Berkshire;Designer;20761;10
