id;libelle;contenu;contenu_content_type;date_creation
1;PCI a Progressive;../fake-data/blob/hipster.png;image/png;2021-06-06
2;quantify engineer;../fake-data/blob/hipster.png;image/png;2021-06-05
3;d'Azur c Garden;../fake-data/blob/hipster.png;image/png;2021-06-05
4;Vatu Refined Movies;../fake-data/blob/hipster.png;image/png;2021-06-06
5;IBX;../fake-data/blob/hipster.png;image/png;2021-06-05
6;reboot Corse;../fake-data/blob/hipster.png;image/png;2021-06-05
7;niches;../fake-data/blob/hipster.png;image/png;2021-06-05
8;portals;../fake-data/blob/hipster.png;image/png;2021-06-06
9;incubate;../fake-data/blob/hipster.png;image/png;2021-06-06
10;end-to-end Refined Aquitaine;../fake-data/blob/hipster.png;image/png;2021-06-06
