id;libelle;mois;annee;type;actif
1;e-commerce Frozen;JANVIER;23978;RATTRAPAGE;true
2;la a transmit;SEPTEMBRE;7173;CONTROLE;false
3;Bedfordshire Sleek;NOVEMBRE;6147;CONTROLE;false
4;Programmable;JANVIER;25339;RATTRAPAGE;false
5;static;MAI;3794;RATTRAPAGE;true
6;Synchronised Ameliorated;MAI;73984;RATTRAPAGE;false
7;cyan deposit;NOVEMBRE;81492;CONTROLE;true
8;overriding Account time-frame;SEPTEMBRE;38206;CONTROLE;false
9;bypassing Licensed platforms;AOUT;19656;RATTRAPAGE;false
10;wireless Music;NOVEMBRE;28874;RATTRAPAGE;true
